total [map_out]: 32
trajectory_out: #5	x=0.000198785	y=0.074379	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 66	1.12678	-0.31128	0
1: 67	0.761875	-0.26083	0
2: 68	1.26469	-0.325243	0
3: 69	0.710352	-0.370588	0
4: 70	1.24126	-0.491997	0
5: 71	0.86491	-0.276351	0
6: 72	1.40906	0.633604	0
7: 73	0.384939	-0.174869	0
8: 74	0.445876	-0.173059	0
9: 75	0.447087	-0.176209	0
10: 76	0.429144	-0.197051	0
11: 77	0.805012	-0.292597	0
12: 78	1.29415	-0.387031	0
13: 79	1.09478	0.564485	0
14: 80	1.36279	0.7268	0
15: 81	1.17066	0.605489	0
16: 82	0.987809	0.442843	0
17: 83	1.28381	0.608943	0
18: 84	1.13445	0.572697	0
19: 85	0.988614	0.444008	0
20: 86	1.14233	0.508026	0
21: 87	1.18732	0.542668	0
22: 88	1.02683	0.547522	0
23: 89	0.389001	-0.162709	0
24: 90	1.17802	-0.284312	0
25: 91	1.22371	0.628989	0
26: 92	1.01149	0.539983	0
27: 93	1.36083	0.681671	0
28: 94	0.905836	-0.301393	0
29: 95	0.830181	-0.245535	0
30: 96	0.417775	-0.157942	0
31: 97	0.876883	-0.256174	0
