total [map_out]: 31
trajectory_out: #6	x=9.62143e-05	y=0.0937604	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 103	1.14474	-0.310897	0
1: 104	0.780145	-0.260541	0
2: 105	1.28359	-0.324647	0
3: 106	0.727853	-0.368928	0
4: 107	1.25441	-0.491167	0
5: 108	1.41288	0.508681	0
6: 109	1.42981	0.63524	0
7: 110	0.402377	-0.174251	0
8: 111	0.463684	-0.172751	0
9: 112	0.464934	-0.175855	0
10: 113	0.446338	-0.196374	0
11: 114	1.31292	-0.386519	0
12: 115	1.11161	0.564006	0
13: 116	1.38171	0.726905	0
14: 117	1.18917	0.605127	0
15: 118	1.29949	0.605251	0
16: 119	1.15341	0.571654	0
17: 120	1.00364	0.44149	0
18: 121	1.16079	0.509357	0
19: 122	1.30522	0.548464	0
20: 123	1.20432	0.540781	0
21: 124	1.04423	0.545056	0
22: 125	1.24132	0.62708	0
23: 126	1.04423	0.545056	0
24: 127	1.37744	0.680348	0
25: 128	0.923317	-0.300837	0
26: 129	0.933023	0.487886	0
27: 130	0.84812	-0.245125	0
28: 131	0.434785	-0.157599	0
29: 132	1.35569	0.686525	0
30: 133	1.31511	0.545287	0
