total [map_out]: 34
trajectory_out: #7	x=-2.87378e-05	y=0.114796	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 148	1.16492	-0.310738	0
1: 149	0.798876	-0.260595	0
2: 150	1.29796	-0.323981	0
3: 151	1.27557	-0.491228	0
4: 152	0.900038	-0.27473	0
5: 153	1.44865	0.634193	0
6: 154	0.420411	-0.17302	0
7: 155	0.464852	-0.195393	0
8: 156	0.840868	-0.292011	0
9: 157	1.13004	0.563566	0
10: 158	0.441533	-0.160565	0
11: 159	1.40246	0.728616	0
12: 160	1.20754	0.604713	0
13: 161	1.31862	0.604342	0
14: 162	1.17408	0.57218	0
15: 163	1.17833	0.508984	0
16: 164	1.22359	0.54234	0
17: 165	1.05717	0.542422	0
18: 166	1.21063	-0.282913	0
19: 167	1.05717	0.542422	0
20: 168	0.939885	-0.29979	0
21: 169	0.951944	0.487231	0
22: 170	0.866974	-0.244673	0
23: 171	0.453243	-0.15671	0
24: 172	1.20838	0.563725	0
25: 173	0.91357	-0.255533	0
26: 174	0.438157	-0.193357	0
27: 175	0.889888	-0.299838	0
28: 176	0.900038	-0.27473	0
29: 177	1.02372	0.441047	0
30: 178	0.422904	-0.160411	0
31: 179	1.21063	-0.282913	0
32: 180	0.418609	-0.157485	0
33: 181	0.438157	-0.193357	0
