total [map_out]: 35
trajectory_out: #27	x=-0.764911	y=0.738825	z=0	r=-nan	p=nan	y=-nan

#	id	x	y	z
0: 848	1.29071	-1.00413	0
1: 849	1.29071	-1.00413	0
2: 850	1.45523	-1.08517	0
3: 851	1.35924	-0.398518	0
4: 852	1.33979	-0.986296	0
5: 853	1.33979	-0.986296	0
6: 854	1.4601	-1.04944	0
7: 855	1.29071	-1.00413	0
8: 856	1.29071	-1.00413	0
9: 857	1.36364	-1.03915	0
10: 858	1.66894	-1.14999	0
11: 859	1.72637	-1.18967	0
12: 860	1.45523	-1.08517	0
13: 861	1.40446	-1.02797	0
14: 862	1.4623	-1.07773	0
15: 863	0.980471	-0.901209	0
16: 864	1.53905	-1.0406	0
17: 865	1.53905	-1.0406	0
18: 866	1.4601	-1.04944	0
19: 867	1.29071	-1.00413	0
20: 868	1.29071	-1.00413	0
21: 869	1.95393	-1.09819	0
22: 870	1.89362	-1.05683	0
23: 871	1.9432	-1.13638	0
24: 872	1.40446	-1.02797	0
25: 873	1.48624	-1.03495	0
26: 874	1.45523	-1.08517	0
27: 875	1.01116	-0.913086	0
28: 876	1.66894	-1.14999	0
29: 877	0.977069	-0.894564	0
30: 878	1.0955	-0.950551	0
31: 879	1.1313	-0.950646	0
32: 880	1.9432	-1.13638	0
33: 881	1.98769	-1.09048	0
34: 882	1.7183	-1.17364	0
